content,source
"The app crashes when uploading large files","Customer Support"
"Would love to see a dark mode option","In-App Feedback"
"Login page is very slow","Customer Survey"
"Great new features in the latest update!","Social Media"
"Pricing is too high for small teams","Sales Inquiry"
"Export to PDF doesn't work on mobile","Bug Report"
"Need integration with Slack","Feature Request"
"Navigation is confusing on mobile","App Store Review"
"Dashboard loads slowly with lots of data","Performance Issue"
"Love the new analytics feature!","Customer Feedback"
